작년 10월에 있었던 사건을 왜 이제서야? 흉기업체가 위기감 느꼈나보네요. 볼보 잘나가니.,0,볼보 대처 좆같이하네 ㅋㅋㅋ 볼보는 믿고거른다 ㄹㅇ,1
이거 그거같다 그 분노의질주 더 익스트림에서 샤를리즈 테론(사이퍼)이 좀비 타임 하면서 전부다 폐차만들어놓은거,0,현기차는 시발? 무서워서 보도 못하냐? <br>진짜 쪽팔리다 왜 뉴스하냐 공정하지도 못하면서 언론사들 죄다 현기차 눈치 보기 바쁘고 진짜 찌질하다,1
아니 ㅋㅋ 브레이크등 왜 안들어오냐고 아 ㅋㅋ,0,개무섭네 씨벌,1
볼보운전자보다.제가 운전경력 삼십년 가까이 됩니다.<br>그동안 대우차 현대차 쉐보레차.중형급 신차만 뽑아서 운전해본 결과. 외제차는 무조건 걸러야 된다고 봅니다.사고시 부품비 인건비가 타 국산차에 비해.비쌉니다.<br>물론 잘들 아시겠지만.국산차는 해외수출용보다.헉소리 나오게 국민들 뒷북치게 만드시는거 알거에요.<br><br>그래도 국내브랜드차량이.<br>써비스쎈타도 많고.부품 준비돼있고.<br>외제차보다 추천드립니다.,0,미국도 도요타 이후로 급발진 접수 많이됨. 근데 운전자 습관으로 판결남 급발진 사례 그만큼 없음. 후미등이라도 들어오고 rpm튀는 현상 떠도 인정힘든데 저건 너무 개판 중국이 볼보가 인수 했다지만 저정도는 아니다 편집 너무 심하게 하냉,1
주차부터 멋지게 하셨네요~,0,ㅗㅜㅑ 가버렷,1
운전 실력 굳 국기게양대 파워 클라스 인정,0,어린이 보호구역 주차 + 김여사 = 개씹 ㅋㅋ노답,1
자동회피로 트럭은 피한거 아닌가?,0,안전따지지말고 결함을 따져라 똥대가리 색히들아,1
저기 우리 동넨데,0,한국에 고장난거만 모아서 파나보네 새끼들,1
그래도 현기 만 할까,0,뭔 차에 사출장치를 다냐 잼민이새끼야 ㅉ,1
수동 타는데 현기차고 수입차고 쌍용차고 급발진 사고가 일어 나네요;; ; 너무 무섭다. <br>이럴때 수동 짱짱맨,0,일단 불법으로 주차하고 한차선 다 막아버리고. 남들 신경 안쓰는 아주머니.. ㅉㅉ.,1
