,comments,sentiment,tokens
7849,마지막 놈 몬난놈,0,"['마지막', '놈', '몬난놈']"
7850,9회말 앞둔 상황에서 광고할 때에 라이 또 이 모양이 네 하고 욕하면서 채널 돌렸는데 아오 ㅋㅋㅋ,0,"['9회', '말', '앞둔', '상황', '에서', '광고', '할', '때', '에', '라이', '또', '이', '모양', '이', '네', '하고', '욕', '하면서', '채널', '돌렸는데', '아오', 'ㅋㅋㅋ']"
7851,2번 씨 발나엿으면 내렸다 개정 신병자 새끼 돌았네,1,"['2', '번', '씨', '발', '나', '엿', '으', '면', '내렸다', '개정', '신', '병자', '새끼', '돌았네']"
7852,대박 내가 쓰는 베개가 나와서 진짜 깜짝 놀랐어 여ㅜㅜㅠㅠ,0,"['대박', '내', '가', '쓰는', '베개', '가', '나와서', '진짜', '깜짝', '놀랐어', '여', 'ㅜㅜㅠㅠ']"
7853,마음 아프네,0,"['마음', '아프네']"
7854,이제 생각났네요 ㅋㅋ,0,"['이제', '생각났네요', 'ㅋㅋ']"
7855,님 틀 딱 같아 욥 요즘 남자애들도 엄마 아빠한테 관심 가는 거 그런 행동으로 표현하면 안 된다고 가르침받는데 ㅋㅋ 하물며 성인이,1,"['님', '틀', '딱', '같아', '욥', '요즘', '남자', '애', '들', '도', '엄마', '아빠', '한테', '관심', '가는', '거', '그런', '행동', '으로', '표현', '하면', '안', '된다고', '가르침', '받는데', 'ㅋㅋ', '하물며', '성인', '이']"
7856,하까요는 시 부레 나경원 진짜 꼴 보기 싫다 아니 니들 자유한국당 전부 다 꼴 보기 싫어,1,"['하', '까', '요', '는', '시', '부레', '나경원', '진짜', '꼴', '보기', '싫다', '아니', '니', '들', '자유', '한국', '당', '전부', '다', '꼴', '보기', '싫어']"
7857,겁 없는 어린 여자애 하나가 여러 명을 보내는구나 서바이벌부터 봐온 비 아이는 진심으로 아깝다 정신적으로 미숙했던 사람을 마약으로 접근시켰던 저런 사람들이 너무 무섭다,0,"['겁', '없는', '어린', '여자애', '하나', '가', '여러', '명', '을', '보내는구나', '서바이벌', '부터', '봐', '온', '비', '아이', '는', '진심', '으로', '아깝다', '정신', '적', '으로', '미숙', '했던', '사람', '을', '마약', '으로', '접근', '시켰던', '저런', '사람', '들', '이', '너무', '무섭다']"
7858,하이틴 영화 한 편 다 봤다,0,"['하이', '틴', '영화', '한', '편', '다', '봤다']"
7859,당연이 쵸쿄,0,"['당', '연', '이', '쵸쿄']"
7860,뷩태가 뷩신짓 했네 집안 망신이 다 뷩 태야 개냐 어디서 함부로 몸을 놀리냐,1,"['뷩태', '가', '뷩신짓', '했네', '집안', '망신', '이', '다', '뷩', '태', '야', '개냐', '어디서', '함부로', '몸', '을', '놀리냐']"
7861,나중에 진짜 슈트 입고 싸우는 스포츠도 나오겠네,0,"['나중', '에', '진짜', '슈트', '입고', '싸우는', '스포츠', '도', '나오겠네']"
7862,서울은 뭐 무법천지무학자들이 사는 도시인가,1,"['서울', '은', '뭐', '무법천지', '무학', '자', '들이', '사는', '도시', '인가']"
7863,헐,0,['헐']
7864,걍 박아서 조사 버리고 싶누,1,"['걍', '박아', '서', '조사', '버리고', '싶', '누']"
7865,조선족 100,1,"['조선족', '100']"
7866,그치 여포한텐 적토마란 돈 앞에서 부모 없었지 ㅋㅋㅋ,0,"['그치', '여포', '한텐', '적토마', '란', '돈', '앞', '에서', '부모', '없었지', 'ㅋㅋㅋ']"
7867,김동희 얼마나 좋아했는데 배신이 다 ㅈ 같은 연예계 그냥 다 파 해치길,1,"['김동희', '얼마나', '좋아했는데', '배신', '이', '다', 'ㅈ', '같은', '연예계', '그냥', '다', '파', '해치길']"
7868,요즘 인 싸들은 전부 ㅅㅏ과 티ㅂㅅ과 티ㅂ 다 본다고 하던데 ㄷㄷ,1,"['요즘', '인', '싸', '들은', '전부', 'ㅅㅏ', '과', '티', 'ㅂㅅ', '과', '티', 'ㅂ', '다', '본다고', '하던데', 'ㄷㄷ']"
7869,ㅅ고티비 매일보는데 ㅠㅠ 너무 좋아서 ㅈ물이 질질 흐른 다 진짜 개 쩔긴 하네 여자애들 몸매가 특히 대박이 네 ㅎㅎ,1,"['ㅅ', '고', '티비', '매일', '보는데', 'ㅠㅠ', '너무', '좋아서', 'ㅈ', '물이', '질질', '흐른', '다', '진짜', '개', '쩔긴', '하네', '여자애', '들', '몸매', '가', '특히', '대박', '이', '네', 'ㅎㅎ']"
