,comments,sentiment,tokens
0,하 내 고딩 시절,0.0,"['하', '내', '고딩', '시절']"
1,케이팝도 잘나가는 건 아시아 쪽 한 정 ㅋㅋㅋㅋ 서양에서 한국문화는 찐 덕만 빨아주는 씹덕 문화인데 ㅋㅋㅋ,1.0,"['케이팝', '도', '잘나가는', '건', '아시아', '쪽', '한', '정', 'ㅋㅋㅋㅋ', '서양', '에서', '한', '국문', '화', '는', '찐', '덕만', '빨아주는', '씹덕', '문화', '인데', 'ㅋㅋㅋ']"
2,딱 장사꾼처럼 생겨 먹었네 백 정답게 ㅋㅋ,1.0,"['딱', '장사꾼', '처럼', '생겨', '먹었네', '백', '정답', '게', 'ㅋㅋ']"
3,아니 자막 ㅎㅎㅎㅎㅎㅎㅎ 모임 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0.0,"['아니', '자막', 'ㅎㅎㅎㅎㅎㅎㅎ', '모임', 'ㅋㅋㅋㅋㅋㅋㅋㅋㅋ']"
4,아 빨리 보고 싶다ㅏㅏ,0.0,"['아', '빨리', '보고', '싶다', 'ㅏㅏ']"
5,죠리퐁 ㅇㅈㅇㅈ 전소민 꿀잼,0.0,"['죠리퐁', 'ㅇㅈㅇㅈ', '전소민', '꿀잼']"
6,혹시 경기 뛰다가 트림 올라온 적 있지 않을까요 ㅋㅋㅋㅋㅋㅋㅋㅋ,0.0,"['혹시', '경기', '뛰다가', '트림', '올라온', '적', '있지', '않을까요', 'ㅋㅋㅋㅋㅋㅋㅋㅋ']"
7,80046046 브금 ㅅㅂㅋㅋㅋㅋㅋ,1.0,"['80046046', '브금', 'ㅅㅂㅋㅋㅋㅋㅋ']"
8,384527527 여기 나온 여자 목소리 존 나듣기 싫다,1.0,"['384527527', '여기', '나온', '여자', '목소리', '존', '나', '듣기', '싫다']"
9,저런 솔직함 너무 멋지네요 싫지가 않아요,0.0,"['저런', '솔직함', '너무', '멋지네요', '싫지가', '않아요']"
10,52퍼 되는 여자들 강한나 테러 하네 ㅋㅋ 그 만들 하세요 님들 너무 추해 보임,1.0,"['52', '퍼', '되는', '여자', '들', '강한나', '테러', '하네', 'ㅋㅋ', '그', '만들', '하세요', '님들', '너무', '추해', '보임']"
