,0
0,ASMR 유튜버 하세요 ㅋㅋ
1,누구 그것을 찢는다는 사람보단 윤석열 총장이 대통령 되는 게 더 현명한 듯
2,인형이야 뭐야 한마디 할때마다 도리도리 뒤지네
3,이분 잘모르지만 도리도리를 너무 하셔서 너무 정신이 없네요   저만 그런가요?
4,윤석열 후보를 뽑아서 박근혜 대통령을 석방해야됩니다 모두 도와주십쇼!!!
5,짜장님~~진짜 될거라고 보는건 아니시져??<br>ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅍㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ
6,대선은 무슨... 총선부터 가쇼 ㅋㅋㅋㅋ
7,대선 출마를 바라신다면  인터뷰 할때 목 돌아가는 습관부터 고치셔야 겠습니다. 보는사람도 따라배우 겠네요.
8,이 분 왤케 에....에....에..... ㄹㅇ 이거 처음부터 끝까지듣는데 노이로제 걸려서 끝나고도 귀에서 에....에...에....거리네
9,"<a href=""https://www.youtube.com/watch?v=JhCjDKttAkM&amp;t=03m25s"">03:25</a> 미어캣인줄ㅋㅋㅋㅌ"
10,그 예외들이 언론에 나오지 않게 잘 처신했다봅니다 <br>그리고 한가지...<br>처가 힘이 없었다면 장모가 없었다면 총장했을까...<br>죄를 지었으면 벌을 받아야지 <br>범죄에 나이가 있나...
11,사냥개는 가마솥에
12,도리도리 밖에<br>안 보이네
13,공정하게 붙으면  자격미달 아니냐?  중소기업 면접가서도 저러면 바로 탈락이다.
14,도리도리도리 도리도리 윤도리도리도리
15,고개를 정신없이 흔들면서 도리도리 하는 이유는 내적으로 확신이 없고 굉장히 불안하기 때문
16,도리도리 줄리 잘하네
17,솔직히 대통령감은 아니지....
18,한마디 한마디 할때마다 가만있지 못하시고 진정성 보다는 건들 건들 도리 도리 잘 보았습니다.
19,도리도리 눈아프다
20,고개 좀 고만 흔들어라 왜이리 산만하냐
21,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ레드준표가 ㅈㄴ웃겠다
22,도대체 뭔데 갑자기 튀어나와서 대선까지?<br>뭔 땀시 이렇게 인기가 많은겨?<br>진심으로 궁금
23,윤석열 후보를 뽑아서 박근혜 대통령을 석방해야됩니다 모두 도와주십쇼!!!
24,검찰시절 중립을 지켰는가? 언행 불일치..이런사람이 대통령이 되겠다고 나오고 떨어지는 콩고물 주워먹을려고 모인 인간들이나 ...띄워주는 언론이나 도찐개찐...<br>에라잇 깜도 안되는 인간아 !!공부 더하고 와라
25,"집중을 못하는거지 도리도리,,,,,,,중국김치먹지맙시다"
26,"저 사람 말할 때 목을 좌우로 계속 왔다갔다하는 행위는, 행동 심리학에서 현실부정할 때, 즉 거짓말할 때 하는 행동임!"
27,진짜 정치경험없이 대통령바로되면 레전드네
28,윤석열 후보를 뽑아서 박근혜 대통령을 석방해야됩니다 모두 도와주십쇼!!!
29,제2의 박그네인줄
30,"그래도 아직 석열이 형님은 아니지..<br>정치경력 1년도 없는 사람이 공부만 한다해서 국정 수행을 해야하는 대통령 될 수 있나...?<br><br>그리고 25세 박성민 비서관 사회 경험없다고, 왜 뽑았냐고 뭐라하면서 윤석열형님도 정치경력이 1도 없는데, 뽑아준다는게 어불성설.. 일관성 있게 해야지..<br><br>박통령 역대급 삽질로 반사이익 보고, <br>반짝 스타로 정권 잡은 문통령 지난 4년간 어떻게 말아드시는지 잘 봤지 않나??<br>이번에도 반짝 스타로 거기다 정치경험 1도 없는 사람 되면 어떻게 될런지..?<br><br>될거면 차라리 홍카콜라가 되야 된다고 봄.<br><br>기자들도 좀 경제 질문 같은거나 좀 물어보지;"
31,머리를 가만히 놔두질 못하는 듯
32,도리도리까꿍ㅋㅋ
33,홍준표와 유승민이 이놈 말하는것 보고 웃고있겠는 걸?
34,별명 : 윤도리
35,여기서 문제<br>윤석열은 도리도리를 총 몇 번 했을까요?
36,윤석렬 넌 고개를 너무까딱여서 불합격 집에가
37,대통령 하실분은 아닌거 같네요
38,도리도리뱅뱅
39,뭔 틱이냐 ㅋㅋㅋ 도리도리
40,카메라. 기자들과 눈마주치며 얘기하느라 도리도리 된것같은디 ㅋ
41,우리가 기자회견 tv에서 한두번 봅니까? 저거 행동 심리학에서 현실부정할때 나오는 행동입니다. 지금 거짓말 중이란 얘기죠.
42,술먹고 봐서 그런가 뭔소린지 못알아 들음. 아 술끊어여야지
43,도리도리ㅉㅉㅉ 잼잼은 안하냐?
44,한게 뭐임?
45,야권 누가되는 문재인보단 잘할듯 ㅋㅋㅋㅋ 기대된다
46,@바니걸보틀 ㄹㅇ ㅋㅋ
47,@알파카보틀Alpaca bottle 우리 감자닮은 보틀 우두머리가 정치해도 문재앙보단 잘할듯 ㅇㅈ?
48,안뇽😝
49,청문회때 국민의짐 의원들이 개소리 지꺼린거<br>기억안나나봅니다.개똥통소굴로 왜들어가는지?<br>어차피 대선포기하겠지만 추한꼴 보기<br>싫으네요..마누라 집안 검증좀하고<br>결혼하시지..불쌍한 인생 참 마음이 아프네요
50,많이 부족하다<br>정서 불안
51,도리도리 까궁
52,고개좀! 이눔아 정신 사납다! 이런거 보좌관들이 코칭 안하니? 짤라라 고마!<br>승질나제? 검찰수장일때 별것도 아닌것들이 막 들이대구... ㅎㅎ<br>정치가 그런겨.<br>웰컴투 헬이다 석열아.
53,이사람 대통령되면 일본사림들 스가 부끄러워하는만큼 어디 내놓기 부끄러울듯
54,이미 재인이 때문에 개망신당하는중
55,지지율이 높잖아. 이재명이랑 다투고있지않냐
